ps_decile,ps_range,n_treated,n_control,conv_rate_treated,conv_rate_control,abs_lift,rel_lift_pct
0,"[0.000, 0.100]",48045,526184,0.08027890519304819,0.04222287260730087,0.038056032585747315,90.13132038573553
1,"[0.100, 0.139]",65291,508937,0.08943039622612611,0.054863372087311395,0.03456702413881472,63.005649896626124
2,"[0.139, 0.182]",88083,486145,0.08682719707548563,0.0623188554855033,0.02450834158998233,39.32732942389081
3,"[0.182, 0.228]",115576,458652,0.09063300339170761,0.06841570515336247,0.022217298238345146,32.47397390488376
4,"[0.228, 0.276]",143274,430954,0.09150299426274132,0.07199376267536674,0.01950923158737458,27.09850251242644
5,"[0.276, 0.325]",169531,404697,0.09205985925877863,0.0771935546841217,0.01486630457465693,19.2584790731432
6,"[0.325, 0.378]",198695,375532,0.09488915171493999,0.08389431526474442,0.01099483645019557,13.105579818488629
7,"[0.378, 0.441]",232185,342044,0.09986002541077159,0.09357275672135748,0.006287268689414108,6.719123075679432
8,"[0.441, 0.524]",276174,298054,0.10863441163903916,0.10691351231656009,0.0017208993224790692,1.6096181719141922
9,"[0.524, 0.939]",354525,219703,0.13261688174317748,0.13654797613141378,-0.0039310943882363,-2.8789107679289327
