,count,mean,std,min,25%,50%,75%,max
APP_COUNT,5699320.0,14.505038671280083,8.24039826196282,0.0,10.0,14.0,20.0,274.0
TOTAL_ACTIVE_DAYS,5699320.0,459.0994330902634,510.5664277176872,0.0,66.0,278.0,693.0,5501.0
TOTAL_MINUTES,5699320.0,86310.04080328881,122941.91565698844,-131.0,8023.0,39878.5,115735.0,1689078.0
ACTIVE_APP_COUNT,5699320.0,5.799207449309742,3.6840047402147027,0.0,3.0,6.0,8.0,76.0
DORMANT_APP_COUNT,5699320.0,0.8159908550493743,1.1543590235111816,0.0,0.0,0.0,1.0,59.0
SLEEPING_APP_COUNT,5699320.0,2.216205792971793,2.2583733810531994,0.0,0.0,2.0,3.0,97.0
AT_RISK_APP_COUNT,5699320.0,1.2850503217927753,1.498068379017376,0.0,0.0,1.0,2.0,59.0
CHAMPION_APP_COUNT,5699320.0,0.13174133054469656,0.3993921907221835,0.0,0.0,0.0,0.0,10.0
REGULAR_APP_COUNT,5699320.0,1.236081848360857,1.2821567609578044,0.0,0.0,1.0,2.0,12.0
LIGHT_APP_COUNT,5699320.0,4.431384270404188,3.0247144950470757,0.0,2.0,4.0,6.0,73.0
DAYS_SINCE_LAST_ACTIVE,5154195.0,114.21729232207939,34.169477200968835,100.0,102.0,107.0,115.0,1311.0
HIST_IMPRESSIONS_7D,5699320.0,13.084995578419882,14.913607096433267,0.0,3.0,9.0,18.0,3061.0
HIST_IMP_EVENTS_7D,5699320.0,13.058364857561955,14.894465686148529,0.0,3.0,9.0,18.0,3059.0
HIST_LOAD_EVENTS_7D,5699320.0,7.705647691303524,8.911486157436718,0.0,2.0,5.0,11.0,2089.0
HIST_CLICK_EVENTS_7D,5699320.0,0.05204673540001263,0.3088641585913013,0.0,0.0,0.0,0.0,166.0
HIST_TRACKER_EVENTS_7D,5699320.0,0.8970464897566727,2.8180998255373853,0.0,0.0,0.0,1.0,346.0
HIST_CAMPAIGNS_7D,5699320.0,8.024979822154222,7.382459945881374,0.0,3.0,6.0,12.0,250.0
HIST_CTV_IMPRESSIONS_7D,5699320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST_TILE_IMPRESSIONS_7D,5699320.0,13.058364857561955,14.894465686148529,0.0,3.0,9.0,18.0,3059.0
HIST_ACTIVE_DAYS_7D,5699320.0,3.6552818581865907,2.1395796801046525,0.0,2.0,4.0,6.0,7.0
HIST_CLICK_RATE,5699320.0,0.003265466271525374,0.024261622243063448,0.0,0.0,0.0,0.0,2.0
AVG_DAILY_IMPRESSIONS,5699320.0,2.8490610868178385,2.5430531794890534,0.0,1.333333333,2.333333333,3.75,876.0
CHANNEL_TILE_RATIO,5699320.0,0.8909710281226533,0.31167558809304824,0.0,1.0,1.0,1.0,1.0
HIST_MOBILE_CAMPAIGN_IMP_7D,5699320.0,1.8666435644954136,5.833786726647057,0.0,0.0,0.0,1.0,352.0
HIST_WEB_CAMPAIGN_IMP_7D,5699320.0,2.082250689555947,4.809025713769849,0.0,0.0,1.0,2.0,1821.0
HIST_TV_CAMPAIGN_IMP_7D,5699320.0,1.4932846374655222,2.7559230393751455,0.0,0.0,0.0,2.0,764.0
HIST_MOBILE_CAMPAIGN_COUNT_7D,5699320.0,0.9837315679765305,2.309274443999822,0.0,0.0,0.0,1.0,45.0
