feature_a,feature_b,correlation
CHANNEL_TILE_RATIO,DEVICE_COUNTRY_MISSING,-1.000000000000002
HIST_IMP_EVENTS_7D,HIST_TILE_IMPRESSIONS_7D,1.0
G_USER_MEDIA_PRICE,G_USER_ADJUSTED_MEDIA_PRICE,0.9999994980918716
HIST_IMPRESSIONS_7D,HIST_TILE_IMPRESSIONS_7D,0.9998959151797407
HIST_IMPRESSIONS_7D,HIST_IMP_EVENTS_7D,0.9998959151797407
G_USER_VIDEO_COMPLETE_SUM,G_USER_VIDEO_START_SUM,0.9994244105862083
AD_COUNT,UNIQUE_ADS_COUNT,0.9993556700079287
G_USER_BUYER_PRICE,G_USER_MEDIA_PRICE,0.9991382096317437
G_USER_BUYER_PRICE,G_USER_ADJUSTED_MEDIA_PRICE,0.9991378742865045
ADVERTISER_COUNT,BRAND_COUNT,0.9963682034265623
AD_COUNT,TOTAL_AD_LENGTH,0.9951432143119692
TOTAL_AD_LENGTH,UNIQUE_ADS_COUNT,0.9943435367579514
UNIQUE_ADS_COUNT,BRAND_COUNT,0.9918039730792151
AD_COUNT,BRAND_COUNT,0.991777582357852
TOTAL_AD_LENGTH,BRAND_COUNT,0.984823097334059
AD_COUNT,ADVERTISER_COUNT,0.9799185604686191
UNIQUE_ADS_COUNT,ADVERTISER_COUNT,0.9793963361647153
TOTAL_AD_LENGTH,ADVERTISER_COUNT,0.9739908583602939
AD_CATEGORY_COUNT,ADVERTISER_COUNT,0.9572334780057477
ACTIVE_APP_COUNT,LIGHT_APP_COUNT,0.9374976172513725
AD_CATEGORY_COUNT,BRAND_COUNT,0.9365092836308391
TOTAL_PROG_TIME_7D,TOTAL_AD_TIME_7D,0.9232511832349657
HIST_IMPRESSIONS_7D,HIST_CAMPAIGNS_7D,0.9137093545886531
HIST_IMP_EVENTS_7D,HIST_CAMPAIGNS_7D,0.9135510417436662
HIST_CAMPAIGNS_7D,HIST_TILE_IMPRESSIONS_7D,0.9135510417436661
HIST_IMPRESSIONS_7D,HIST_LOAD_EVENTS_7D,0.9060369654431821
HIST_IMP_EVENTS_7D,HIST_LOAD_EVENTS_7D,0.9058493689583352
HIST_LOAD_EVENTS_7D,HIST_TILE_IMPRESSIONS_7D,0.9058493689583352
