dimension,segment_value,n,exposed_rate,aipw_ate_pp,aipw_se_pp,aipw_ci_95_lo_pp,aipw_ci_95_hi_pp,aipw_p_value,naive_lift_pp,control_conv_rate_pct,rel_lift_pct_vs_control,low_confidence
DEVICE_COUNTRY,UNKNOWN,588871,0.11487405560810432,2.778375781434329,0.23402426831430514,2.319688215538291,3.237063347330367,0.0,5.243907094947413,6.68732313300398,41.546904885187864,False
DEVICE_COUNTRY,US,4996454,0.31408975245243925,-0.2273404424146351,0.0362641960113038,-0.29841826659679055,-0.15626261823247964,3.633613410158887e-10,2.5632013051599403,7.5408236480845865,-3.0147959032615876,False
OPERATING_SYSTEM,TIZEN_TV,4963290,0.28574554378245076,0.21408931641029427,0.042800154275421075,0.13020101403046896,0.2979776187901195,5.671833982479058e-07,2.705324689853704,7.208667178929956,2.9698876518540196,False
OPERATING_SYSTEM,TIZEN_TV_6,622035,0.35165706109784817,-0.9040946270248608,0.13159019922517665,-1.162011417506207,-0.6461778365435146,6.396216889470452e-12,2.5436929629963356,9.357487874790474,-9.661723735283008,False
NETSPEED,OTHER,626,0.2364217252396166,2.25068467319727,1.9288386395882569,-1.5298390603957128,6.031208406790253,0.24326690798612916,4.133212710618569,3.9748953974895396,56.6224880941208,True
NETSPEED,cable,2713449,0.29398341372916903,0.31397098090153513,0.058694512372601884,0.19892973665123545,0.4290122251518348,8.832478570752755e-08,2.9919365964075406,7.241118314593839,4.335946013597846,False
NETSPEED,broadband,2212836,0.2892523440508018,0.11507654674165113,0.06620663260232588,-0.014688453158907605,0.24484154664220986,0.08218574818089519,3.030848481127034,7.775972044192151,1.4798991828629509,False
NETSPEED,xdsl,65464,0.26988879384088965,0.0011729399711894095,0.37572982082081074,-0.7352575088375997,0.7376033887799784,0.9975091964442855,2.9301598619277196,7.0256925265712615,0.01669500859528559,False
NETSPEED,mobile,374272,0.2774506241450068,-0.7957463559238924,0.15392890166674394,-1.0974470031907106,-0.49404570865707426,2.3463222853514765e-07,1.237820804369247,6.983322856191991,-11.394952980275256,False
NETSPEED,wireless,69193,0.33260589944069485,-0.8101679338601956,0.2771494782943114,-1.353380911317046,-0.2669549564033452,0.0034643551867612477,0.5756142326550682,6.585244375148877,-12.302777052854315,False
