decile,ps_min,ps_max,n_treated,n_control,conv_rate_treated,conv_rate_control,abs_lift,rel_lift_pct
0,1.440740358533248e-05,0.04837358398706698,20551,549381,0.07907157802540023,0.04108442046594258,0.03798715755945765,92.46122283980506
1,0.04837365220569352,0.09336328489392678,42089,527842,0.07512651761742974,0.052320580779854575,0.02280593683757516,43.58884495861009
2,0.09336353954462637,0.14226296827379012,65790,504141,0.07824897400820793,0.059582537425045774,0.01866643658316216,31.32870366027017
3,0.14226299358184,0.1957294995775872,92134,477797,0.08048060433716109,0.06568061331485965,0.014799991022301437,22.53327165407737
4,0.19572959955446287,0.2548129445393981,122211,447721,0.08506599242294065,0.07162496286750007,0.013441029555440576,18.765845059222308
5,0.2548131284416075,0.3212882628677097,158510,411421,0.0870733707652514,0.07922298570077853,0.007850385064472873,9.909226463798532
6,0.3212883800401865,0.39799426139506183,201112,368819,0.09203826723417798,0.08890539804077338,0.0031328691934045944,3.5238233700588264
7,0.39799428332658415,0.49024470693678013,252182,317749,0.09732653401115068,0.09990275343116736,-0.002576219420016679,-2.5787271436834667
8,0.49024484904362736,0.612508226477416,318220,251711,0.10953114197724845,0.11978419695603292,-0.010253054978784468,-8.5596057237399
9,0.6125089798330626,0.993155666717139,413414,156518,0.13400368637733603,0.16679870685799716,-0.03279502048066113,-19.661435690014624
