covariate,smd_raw,smd_matched,smd_iptw,abs_smd_raw,abs_smd_matched,abs_smd_iptw
LIGHT_APP_COUNT,0.23143182854770028,0.02705043023195258,0.052029351626994604,0.23143182854770028,0.02705043023195258,0.052029351626994604
ACTIVE_APP_COUNT,0.216921196749784,0.025818736102973035,0.047120531539668706,0.216921196749784,0.025818736102973035,0.047120531539668706
APP_COUNT,0.15280659659924611,-0.009360741587150712,0.018828008632983076,0.15280659659924611,0.009360741587150712,0.018828008632983076
CHANNEL_TILE_RATIO,0.10751203243950447,0.00047963126685635673,0.027617208880855417,0.10751203243950447,0.00047963126685635673,0.027617208880855417
HIST_MOBILE_CAMPAIGN_IMP_7D,-0.10527789907060353,-0.020855006601170626,-0.03458007185331541,0.10527789907060353,0.020855006601170626,0.03458007185331541
AT_RISK_APP_COUNT,0.10110507520204128,-0.0013014840568714157,0.021932163157804545,0.10110507520204128,0.0013014840568714157,0.021932163157804545
HIST_TV_CAMPAIGN_IMP_7D,0.0937367590808635,-0.02018503269337787,0.004316798050000473,0.0937367590808635,0.02018503269337787,0.004316798050000473
SLEEPING_APP_COUNT,0.06713698622620072,-0.000874719491417377,0.019252154414645676,0.06713698622620072,0.000874719491417377,0.019252154414645676
DMA_CODE,0.06380393701383932,-0.0015567230538809439,0.007730384908667932,0.06380393701383932,0.0015567230538809439,0.007730384908667932
REGULAR_APP_COUNT,0.060152466576176525,0.006925539153902361,0.00896745001093313,0.060152466576176525,0.006925539153902361,0.00896745001093313
DORMANT_APP_COUNT,0.05832669923355097,-0.0028176420127159407,0.012017729337874098,0.05832669923355097,0.0028176420127159407,0.012017729337874098
DAYS_SINCE_LAST_ACTIVE,-0.05828189411797285,0.0022990673570496474,0.004700965294473763,0.05828189411797285,0.0022990673570496474,0.004700965294473763
HIST_LOAD_EVENTS_7D,0.03109947380675826,-0.028633200460437172,-0.025713089653890887,0.03109947380675826,0.028633200460437172,0.025713089653890887
HIST_IMPRESSIONS_7D,-0.028446215424557462,-0.035184533128119214,-0.03536279661645345,0.028446215424557462,0.035184533128119214,0.03536279661645345
HIST_TRACKER_EVENTS_7D,-0.027387707685098784,-0.013628992521738667,-0.020196280834351744,0.027387707685098784,0.013628992521738667,0.020196280834351744
HIST_IMP_EVENTS_7D,-0.02703871638029975,-0.03555795096452521,-0.027875817569478007,0.02703871638029975,0.03555795096452521,0.027875817569478007
HIST_TILE_IMPRESSIONS_7D,-0.02703871638029975,-0.03555795096452521,-0.027875817569478007,0.02703871638029975,0.03555795096452521,0.027875817569478007
HIST_WEB_CAMPAIGN_IMP_7D,-0.025597618752288647,-0.0025110660864789253,-0.010251295854631757,0.025597618752288647,0.0025110660864789253,0.010251295854631757
TOTAL_ACTIVE_DAYS,0.024052616524591303,0.005318179617670733,-0.005822478366732185,0.024052616524591303,0.005318179617670733,0.005822478366732185
HIST_ACTIVE_DAYS_7D,0.023788201340366202,-0.0025105018135894203,-0.01781848929784642,0.023788201340366202,0.0025105018135894203,0.01781848929784642
TOTAL_AD_TIME_7D,-0.020709930183021582,0.0031832587742414015,-0.008614427287786249,0.020709930183021582,0.0031832587742414015,0.008614427287786249
TOTAL_MINUTES,0.01973005796982393,0.010156580502555742,-0.0016406554312513272,0.01973005796982393,0.010156580502555742,0.0016406554312513272
TOTAL_PROG_TIME_7D,-0.017815368792786643,0.009932501494940472,-0.0030927441478352815,0.017815368792786643,0.009932501494940472,0.0030927441478352815
HIST_CAMPAIGNS_7D,-0.01561552698641049,-0.02882228624714748,-0.034716108880435866,0.01561552698641049,0.02882228624714748,0.034716108880435866
TOTAL_TV_USAGE_TIME_7D,-0.011306952144951078,-0.0032849370616212866,-0.014598033763157648,0.011306952144951078,0.0032849370616212866,0.014598033763157648
STV_YEAR,-0.01059934788261525,-0.001256273264188109,0.011913259012417824,0.01059934788261525,0.001256273264188109,0.011913259012417824
TOTAL_APP_TIME_7D,-0.010447885611544309,-0.01049883243160528,-0.019850589675541257,0.010447885611544309,0.01049883243160528,0.019850589675541257
HIST_CLICK_EVENTS_7D,-0.005704384909483707,0.0002786939757544266,-0.0006410889821670707,0.005704384909483707,0.0002786939757544266,0.0006410889821670707
AVG_DAILY_IMPRESSIONS,-0.005595061198957769,-0.016129047175158534,-0.004927979045023219,0.005595061198957769,0.016129047175158534,0.004927979045023219
CHAMPION_APP_COUNT,0.0031533255278143506,0.00325566456654703,0.002413533962913336,0.0031533255278143506,0.00325566456654703,0.002413533962913336
HIST_CLICK_RATE,0.0011425542908194799,0.00036995176377467803,-0.00018411374661720108,0.0011425542908194799,0.00036995176377467803,0.00018411374661720108
TOTAL_HDMI_TIME_7D,-0.0009660262081677064,0.0036437171478434197,-0.0026149329297086013,0.0009660262081677064,0.0036437171478434197,0.0026149329297086013
TOTAL_VOD_TIME_7D,0.0005111675933791682,8.415882694099728e-05,-0.002415761096353118,0.0005111675933791682,8.415882694099728e-05,0.002415761096353118
