ENGAGEMENT_TIER,DOMINANT_PRIOR_CAMPAIGN_TYPE,n,aipw_ate_pp,aipw_ci_95_lo_pp,aipw_ci_95_hi_pp,interaction,HIST_ACTIVE_DAYS_7D_BUCKET,HIST_IMPRESSIONS_7D_QUARTILE
No_App_Activity,Web,141233,5.59744087888119,5.084385090908975,6.110496666853406,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
No_App_Activity,None,182555,5.555601508473511,5.118685921061745,5.992517095885277,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
No_App_Activity,TV,41378,5.143512178738815,4.347401200164668,5.939623157312964,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Champion,None,40785,3.7731408509048587,2.910931575345336,4.635350126464382,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Champion,Web,64071,3.6193157645182774,2.9662510424579334,4.272380486578621,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Regular,TV,144502,3.5875355412074796,3.216950615925439,3.9581204664895204,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Regular,Web,366911,3.5566023919972407,3.286692768212028,3.8265120157824533,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Regular,None,150691,3.5036515854863928,3.0769246898784837,3.9303784810943023,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Light,Web,1720556,3.3166458699381236,3.1986778639400733,3.434613875936174,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Light,TV,805572,3.3147393092406343,3.15996255483773,3.4695160636435385,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
No_App_Activity,Mobile,71309,3.256647185238,2.6118143825443116,3.9014799879316886,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Light,None,835234,3.186880794279022,3.016284416008961,3.357477172549083,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Champion,TV,19980,3.0480205479364546,2.0093959593351918,4.086645136537717,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Champion,Mobile,35550,2.5343438596306593,1.568118544256051,3.5005691750052677,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Light,Mobile,1101109,2.0004310704772097,1.85864715673896,2.14221498421546,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
Regular,Mobile,242641,1.8241057761238009,1.5270975412305956,2.121114011017006,ENGAGEMENT_TIER_x_CAMPAIGN_TYPE,,
No_App_Activity,,163441,5.961456505879086,5.497099505356834,6.425813506401338,ENGAGEMENT_TIER_x_RECENCY,0_days,
No_App_Activity,,89145,4.924812257732026,4.320088433363094,5.529536082100958,ENGAGEMENT_TIER_x_RECENCY,2-3_days,
No_App_Activity,,119868,4.599219167651327,4.0534274808164,5.145010854486253,ENGAGEMENT_TIER_x_RECENCY,4-7_days,
No_App_Activity,,64021,4.4537682543144514,3.779015804632139,5.128520703996763,ENGAGEMENT_TIER_x_RECENCY,1_day,
Champion,,29013,3.6981970391973693,2.7066350372008503,4.689759041193888,ENGAGEMENT_TIER_x_RECENCY,0_days,
Champion,,76875,3.4768296728102515,2.8480453736667593,4.105613971953743,ENGAGEMENT_TIER_x_RECENCY,4-7_days,
Light,,514670,3.4370099739989475,3.2199322442304092,3.6540877037674857,ENGAGEMENT_TIER_x_RECENCY,0_days,
Regular,,78745,3.3463636979556988,2.7842466443102105,3.908480751601187,ENGAGEMENT_TIER_x_RECENCY,0_days,
Regular,,587544,3.315286342140747,3.1038223668637213,3.526750317417773,ENGAGEMENT_TIER_x_RECENCY,4-7_days,
Champion,,35238,3.3094302044972714,2.4215010180704746,4.197359390924068,ENGAGEMENT_TIER_x_RECENCY,2-3_days,
Light,,2554380,3.167090106374505,3.070124000947036,3.2640562118019742,ENGAGEMENT_TIER_x_RECENCY,4-7_days,
Regular,,171212,2.49489844523452,2.158388824857896,2.8314080656111438,ENGAGEMENT_TIER_x_RECENCY,2-3_days,
Light,,429009,2.4613500082638917,2.245638169109006,2.6770618474187775,ENGAGEMENT_TIER_x_RECENCY,1_day,
Light,,964412,2.4122482094764077,2.269221863599955,2.55527455535286,ENGAGEMENT_TIER_x_RECENCY,2-3_days,
Champion,,19260,2.366631950604841,1.2593548742807956,3.473909026928886,ENGAGEMENT_TIER_x_RECENCY,1_day,
Regular,,67244,2.3108626957184364,1.7767813065687958,2.844944084868077,ENGAGEMENT_TIER_x_RECENCY,1_day,
,None,73671,5.170278922765518,4.497670116465622,5.842887729065413,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q4_highest
,Web,545662,4.61513101870567,4.372684457327972,4.857577580083367,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q4_highest
,TV,358880,4.325431766336103,4.064874016257865,4.58598951641434,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q4_highest
,None,764690,3.646939263906839,3.464205695225099,3.8296728325885794,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q1_lowest
