top_k_pct,n_users_in_bucket,avg_predicted_cate,ipw_uplift_in_bucket,cumulative_gain,pct_of_total_gain_captured
10,75000,0.05683061098237031,0.4955512817318591,0.049555128173185914,160.5112031812729
20,150000,0.04967531332863312,0.27874588211452367,0.055749176422904737,180.57399332582932
30,225000,0.04556344009358381,0.1841809902847855,0.055254297085435645,178.97105775054217
40,300000,0.04262305147966726,0.13335763939263592,0.05334305575705437,172.7804644356358
50,375000,0.040276926779521216,0.10205246431298978,0.05102623215649489,165.27617260160133
60,450000,0.038273755599681186,0.08025667839480846,0.04815400703688508,155.97291122883576
70,525000,0.03647427346999659,0.06409604055779487,0.044867228390456405,145.32689305519608
80,600000,0.034779241436673235,0.051489277872855746,0.0411914222982846,133.42079816117055
90,675000,0.03309396039787971,0.04106553550182879,0.03695898195164591,119.71174084508966
100,750000,0.031140508555077513,0.030873314255342135,0.030873314255342135,99.99999999999835
